상장 시기(상장월),최근 공모주 동향(최근 3개월 내의 종속변수 1인 갯수),최근 3개월 공모주 수,"최근 ""따"" 비율",희망공모가_하한,희망공모가_상한,공모가,밴드수익률(공모가/공모가_상한),기관경쟁률,청약경쟁률,의무보유확약,대표주간사,IPO 주간사 순위,총 공모주식 수,구주매출(비율),매출액(백만원),순이익(백만원),자본금(백만원),전문투자자(비율),우리사주조합(비율),일반청약자(비율),공모후 상장주식수(주식수),유통가능주식합계(비율),ROE,종속변수
2,1,12,0.1612141074013367,5015,5525,6474,1.1706972901896506,689.1616874007362,1034.2772257316785,0.26188063638596154,1,13,3408494,0.0,22961,3420,6475,0.7974159139415696,0.0,0.2025840860584304,13546513,0.25157596386919534,92.25086635434181,1
4,6,13,0.39346575052339994,13281,16218,18765,1.1546864536843184,1123.7396131173364,38847.876265509585,0.3575655587716533,6,5,2159406,0.1547836041758015,33104,2075,3025,0.6797031947352222,0.0937290736863704,0.2265677315784074,10493729,0.32401474959020915,117.75835113816433,1
7,5,14,0.4259714828347288,15674,17904,19053,1.0505301366228883,1284.0665715937582,1030.5133818374593,0.15645500912829724,5,15,708127,0.1531063139673515,8947,1560,1991,0.75,0.02703175608050533,0.22296824391949469,4085434,0.5031897584078152,75.50650771325903,1
10,2,25,0.13877102955053802,9956,11137,8906,0.808771029550538,177.29833153136772,683.5326411520978,0.16689688079861564,2,9,1183160,0.0,63852,7691,2572,0.7318714950749103,0.06812850492508968,0.2,4983201,0.35987092691929934,294.31775912483045,1
8,3,16,0.19204264659269432,13109,15300,16753,1.108913700058399,1623.330289148375,5925.696072203105,0.32789014375679615,8,8,1069298,0.10274314072062968,11650,-5458,4183,0.6120426465926944,0.1379573534073057,0.25,8368351,0.3234547817332555,-126.14775358982843,1
1,5,17,0.3316903544376226,16925,19900,19900,1.0,1623.7517154708603,1400.4505335286249,0.3633056442475167,8,17,1600000,0.2043104038159376,24857,-1828,4383,0.5512073960268733,0.2,0.24879260397312675,8906594,0.21438792603973128,-32.25393944427992,1
3,5,13,0.4412509198907251,12404,14921,15163,1.0241849825849403,1466.8255925180529,1511.2467748919546,0.21403840086427045,7,10,1719473,0.22423335255011012,41956,-6967,4183,0.6419029338227729,0.13228204876216734,0.22581501741505977,9082436,0.29648383089328717,-175.43752886054492,1
7,2,11,0.25626433025884854,11968,13968,15322,1.101556529058813,1485.5661422844253,4887.102773840208,0.3117881163618652,8,7,1096886,0.0,17120,-5009,4189,0.6375095535058991,0.12863827014116327,0.2338521763529377,8380987,0.3400645540037683,-116.02636828768422,1
10,3,15,0.24024069026156483,10984,12718,14706,1.1351816531106795,837.0911623033732,1217.5958763770718,0.33970177124662937,4,2,1134801,0.0,8243,-4586,5037,0.6409627610462593,0.15903723895374075,0.2,10100000,0.5440296094966716,-91.08630784629864,1
6,5,14,0.34916670994951704,6877,8906,9041,1.021666580100966,1610.4814608935346,1668.3244249332809,0.06477081666943595,4,10,1898760,0.10622040894498551,14470,2498,2533,0.729166709949517,0.03437490261358668,0.2364583874368963,12291667,0.28870191831746633,141.24548495564315,1
10,4,26,0.19023542731290177,21178,25978,21072,0.8407062819387053,669.0663184911582,612.2949313235016,0.03915625072694274,3,9,493405,0.1463091745211885,14175,2999,2048,0.75,0.028051428964718197,0.22194857103528182,4098250,0.3806735554294005,146.32916724447546,1
1,1,15,0.08647584008187587,18156,23882,18549,0.7782442972832158,202.8613086634298,98.89530718940665,0.02745657754993182,4,11,762151,0.026149511901377244,19663,-2697,1948,0.7039228190671133,0.04607718093288671,0.25,3897743,0.24131921511016008,-139.9615799239487,1
2,15,25,0.6265641059898075,10787,13728,15670,1.1341693290144448,1399.0827000853928,666.5033996051438,0.5951208360705217,9,17,2424954,0.281283775450299,51060,8121,5298,0.7779719405267634,0.03177455203908203,0.2,10607605,0.3152223711406122,153.3033926531952,1
10,7,23,0.32626484146779255,18427,21112,21160,1.0033616426789869,1712.7302114995268,3668.549820463113,0.15796977231921833,3,3,1265961,0.3610894203456897,36447,3498,3965,0.75,0.0,0.25,7931911,0.3206679005522171,88.24743064170242,1
6,6,12,0.5204764216921971,12246,14393,14393,1.0,1254.3418622839904,1080.7833572548002,0.196869972292245,8,12,813941,0.027424123850359194,8081,114,1923,0.75,0.04179900602561029,0.2082009939743897,4003461,0.6098439090484677,6.867251726624787,1
2,1,13,0.07655716267030678,6468,7956,8703,1.0877649008421975,563.8504979397068,1062.0430430689983,0.13684696795786427,2,10,1200000,0.0,5288,1106,3364,0.6152012896953151,0.18479871030468492,0.2,6524387,0.5346162249388313,34.160885863332645,1
9,2,15,0.15367223445228984,4118,4659,4895,1.0413732938910012,1086.8822173908356,1132.6672101675886,0.2289495447165671,4,12,4984180,0.3196818669510048,172264,7512,8358,0.7009256466702876,0.07361152999456858,0.2295523527792865,16759408,0.27677056219040364,87.21949248006388,1
2,10,19,0.5413352839964577,13338,17322,18480,1.0661364543943324,1398.889945621203,3801.076576064902,0.11360251359469922,9,2,913101,0.0,45715,1167,1385,0.7173294320070845,0.08267056799291543,0.2,8270988,0.3897153611027389,87.72856843223975,1
2,12,22,0.5477619984788067,9708,11061,11265,1.023465556400663,1459.6029488819813,1917.29639968521,0.17423263689055174,12,9,1789946,0.280400327016131,42049,4039,3063,0.6937425182931565,0.09843562957328915,0.2078218521335543,6127814,0.31141235730282746,131.98175631424937,1
5,6,11,0.5524927130550622,7875,9875,10250,1.0374878550917703,1385.8090830193019,1801.5001052868568,0.0983722436930138,5,1,1735141,0.1875142511690347,48886,-10236,4098,0.7199805681468324,0.06750728694493786,0.21251214490822978,9307366,0.36520666118857303,-257.94109715015236,1
3,0,9,0.04958506688232675,7008,8323,9512,1.134353066294163,662.124554947566,1113.0252081256965,0.2335051512271527,3,6,1200000,0.0,4198,756,3474,0.6274613332353061,0.17253866676469398,0.2,6580352,0.4759151364693548,23.198396771334483,1
